place_name,city,category,description,latitude,longitude,top_activities,hotels
Pyramids of Giza,Giza,Historical,"An iconic ancient site evoking awe, mystery, and timeless grandeur.",29.9792,31.1342,Camel rides; Pyramid interior tours; Sound and light show,Marriott Mena House; Steigenberger Pyramids
Siwa Adventure Spot #131,Siwa,Adventure,An ancient corner of the city that whispers stories of the past.,25.70620330500611,32.52046254649428,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Aswan Ancient Ruins 132,Aswan,Historical,A rugged landscape that challenges the spirit and rewards the brave.,25.675635733057085,32.61198708743704,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Art Spot #133,Dahab,Art,"A romantic setting with breathtaking views, ideal for couples.",25.757404939865634,32.68477509919558,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Adventure Spot #134,Hurghada,Adventure,An ancient corner of the city that whispers stories of the past.,25.749611680462298,32.51488019552088,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Luxor Adventure Spot #135,Luxor,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.627614165748763,32.50168711779449,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Marsa Alam Art Spot #136,Marsa Alam,Art,"A romantic setting with breathtaking views, ideal for couples.",25.65150949157754,32.601282779730326,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Luxor Ancient Ruins 137,Luxor,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.691001440441426,32.673879347398035,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Cairo Art Spot #138,Cairo,Art,An ancient corner of the city that whispers stories of the past.,29.9671949424204,31.130431128522584,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Aswan Secret Beach 139,Aswan,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.6678885959491,32.55710018885497,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Adventure Spot #140,Dahab,Adventure,"A lively place full of energy, music, and modern vibes.",25.63979897932485,32.5898943955095,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Sharm El Sheikh Old Town Cafe 141,Sharm El Sheikh,Cafe,"A lively place full of energy, music, and modern vibes.",25.775574436116877,32.53657814050851,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Marsa Alam Adventure Spot #142,Marsa Alam,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.711192617945652,32.51076185816059,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Dahab Old Town Cafe 143,Dahab,Cafe,An ancient corner of the city that whispers stories of the past.,25.642608274560125,32.675150481234226,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Siwa Adventure Spot #144,Siwa,Adventure,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.685282068397722,32.641772507570316,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Luxor Adventure Spot #145,Luxor,Adventure,An ancient corner of the city that whispers stories of the past.,25.655674343440342,32.520437094222466,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Dahab Old Town Cafe 146,Dahab,Cafe,An ancient corner of the city that whispers stories of the past.,25.75445673399601,32.67529274731962,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Old Town Cafe 147,Hurghada,Cafe,An ancient corner of the city that whispers stories of the past.,25.710568454119336,32.52209530118629,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Dahab Art Spot #148,Dahab,Art,An ancient corner of the city that whispers stories of the past.,25.614494124848378,32.583455608092564,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Sharm El Sheikh Art Spot #149,Sharm El Sheikh,Art,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.742550060527762,32.656361508579224,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Sharm El Sheikh Secret Beach 150,Sharm El Sheikh,Nature,A cozy artistic space inspiring creativity and conversation.,25.617873860496616,32.67254288781118,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Cairo Ancient Ruins 151,Cairo,Historical,An ancient corner of the city that whispers stories of the past.,30.069594645888067,31.257048732137527,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Siwa Adventure Spot #152,Siwa,Adventure,"A lively place full of energy, music, and modern vibes.",25.63883286056728,32.65340765766219,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Dahab Old Town Cafe 153,Dahab,Cafe,A rugged landscape that challenges the spirit and rewards the brave.,25.654489391859858,32.55171587101982,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Sharm El Sheikh Art Spot #154,Sharm El Sheikh,Art,"A romantic setting with breathtaking views, ideal for couples.",25.766826704039406,32.59288070694438,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Hurghada Ancient Ruins 155,Hurghada,Historical,"A lively place full of energy, music, and modern vibes.",25.734155074776325,32.56245395874517,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Hurghada Old Town Cafe 156,Hurghada,Cafe,"A romantic setting with breathtaking views, ideal for couples.",25.767694091320717,32.54801674986971,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Aswan Secret Beach 157,Aswan,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.600148566107062,32.612883721469494,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Marsa Alam Relaxation Spot #158,Marsa Alam,Relaxation,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.787370546578437,32.581450034086714,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Marsa Alam Art Spot #159,Marsa Alam,Art,A rugged landscape that challenges the spirit and rewards the brave.,25.72993788662525,32.527619944411185,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Sharm El Sheikh Ancient Ruins 160,Sharm El Sheikh,Historical,A cozy artistic space inspiring creativity and conversation.,25.66859148877071,32.559829903506234,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Sharm El Sheikh Relaxation Spot #161,Sharm El Sheikh,Relaxation,"A romantic setting with breathtaking views, ideal for couples.",25.701472681223006,32.554306029640024,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Marsa Alam Secret Beach 162,Marsa Alam,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.759154159777882,32.67025209411888,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Sharm El Sheikh Old Town Cafe 163,Sharm El Sheikh,Cafe,An ancient corner of the city that whispers stories of the past.,25.65701812556026,32.653058952404855,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Siwa Old Town Cafe 164,Siwa,Cafe,A cozy artistic space inspiring creativity and conversation.,25.6747872011985,32.69995630651369,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Sharm El Sheikh Ancient Ruins 165,Sharm El Sheikh,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.679304586279414,32.56067642699648,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Aswan Old Town Cafe 166,Aswan,Cafe,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.696619325205695,32.50540278009688,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Alexandria Ancient Ruins 167,Alexandria,Historical,"A lively place full of energy, music, and modern vibes.",31.262068194151833,29.987658270649497,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Cairo Adventure Spot #168,Cairo,Adventure,"A romantic setting with breathtaking views, ideal for couples.",29.911113622837714,31.280320709448326,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Cairo Old Town Cafe 169,Cairo,Cafe,An ancient corner of the city that whispers stories of the past.,30.065491332032774,31.25699609005804,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Siwa Relaxation Spot #170,Siwa,Relaxation,"A lively place full of energy, music, and modern vibes.",25.772957913760884,32.63477946562944,Photography; Local food tasting; Exploring,Siwa Grand Hotel; Siwa Boutique Stay
Alexandria Secret Beach 171,Alexandria,Nature,A cozy artistic space inspiring creativity and conversation.,31.20526557097801,29.81283776062598,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Sharm El Sheikh Adventure Spot #172,Sharm El Sheikh,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.707014211077258,32.546032490433056,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Aswan Relaxation Spot #173,Aswan,Relaxation,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.610893311737637,32.68365912390861,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Secret Beach 174,Dahab,Nature,A rugged landscape that challenges the spirit and rewards the brave.,25.608003937142286,32.60145344456928,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Sharm El Sheikh Secret Beach 175,Sharm El Sheikh,Nature,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.779081860804045,32.65617129807192,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Aswan Art Spot #176,Aswan,Art,"A romantic setting with breathtaking views, ideal for couples.",25.627677860712545,32.636772932602206,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Old Town Cafe 177,Dahab,Cafe,"A lively place full of energy, music, and modern vibes.",25.79838651215103,32.59164443287863,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Adventure Spot #178,Hurghada,Adventure,"A lively place full of energy, music, and modern vibes.",25.639768287512997,32.51824117127682,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Dahab Ancient Ruins 179,Dahab,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.74524243758595,32.69962452051984,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Marsa Alam Ancient Ruins 180,Marsa Alam,Historical,A rugged landscape that challenges the spirit and rewards the brave.,25.60203105098401,32.67522270208546,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Dahab Art Spot #181,Dahab,Art,"A romantic setting with breathtaking views, ideal for couples.",25.773330045712676,32.51138762142886,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Luxor Adventure Spot #182,Luxor,Adventure,A rugged landscape that challenges the spirit and rewards the brave.,25.627938058014557,32.679272624223664,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Dahab Art Spot #183,Dahab,Art,A rugged landscape that challenges the spirit and rewards the brave.,25.60713828820177,32.50440359805281,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Relaxation Spot #184,Hurghada,Relaxation,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.75095256094285,32.63911221778117,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Sharm El Sheikh Ancient Ruins 185,Sharm El Sheikh,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.70687754639243,32.543705582950714,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Hurghada Adventure Spot #186,Hurghada,Adventure,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.62951505601646,32.5591772777515,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Dahab Ancient Ruins 187,Dahab,Historical,"A romantic setting with breathtaking views, ideal for couples.",25.68019221643883,32.59873495672551,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Aswan Ancient Ruins 188,Aswan,Historical,An ancient corner of the city that whispers stories of the past.,25.775619167738217,32.6662441099104,Photography; Local food tasting; Exploring,Aswan Grand Hotel; Aswan Boutique Stay
Dahab Adventure Spot #189,Dahab,Adventure,"A romantic setting with breathtaking views, ideal for couples.",25.68674080467717,32.63509762691996,Photography; Local food tasting; Exploring,Dahab Grand Hotel; Dahab Boutique Stay
Hurghada Old Town Cafe 190,Hurghada,Cafe,"A lively place full of energy, music, and modern vibes.",25.671365319440717,32.59161635426808,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Cairo Secret Beach 191,Cairo,Nature,A rugged landscape that challenges the spirit and rewards the brave.,30.014231799352867,31.211382128055707,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Marsa Alam Art Spot #192,Marsa Alam,Art,A rugged landscape that challenges the spirit and rewards the brave.,25.695834463980038,32.636575965201644,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Cairo Secret Beach 193,Cairo,Nature,An ancient corner of the city that whispers stories of the past.,30.06193016161736,31.19094211295111,Photography; Local food tasting; Exploring,Cairo Grand Hotel; Cairo Boutique Stay
Luxor Secret Beach 194,Luxor,Nature,"A romantic setting with breathtaking views, ideal for couples.",25.799959446053627,32.570144116007974,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
Hurghada Ancient Ruins 195,Hurghada,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.648125488783624,32.5121120625031,Photography; Local food tasting; Exploring,Hurghada Grand Hotel; Hurghada Boutique Stay
Sharm El Sheikh Ancient Ruins 196,Sharm El Sheikh,Historical,A hidden spot perfect for quiet contemplation and escaping the crowd.,25.715741840678987,32.63833950212404,Photography; Local food tasting; Exploring,Sharm El Sheikh Grand Hotel; Sharm El Sheikh Boutique Stay
Alexandria Art Spot #197,Alexandria,Art,"A romantic setting with breathtaking views, ideal for couples.",31.115270910497067,29.901346394977526,Photography; Local food tasting; Exploring,Alexandria Grand Hotel; Alexandria Boutique Stay
Marsa Alam Old Town Cafe 198,Marsa Alam,Cafe,A rugged landscape that challenges the spirit and rewards the brave.,25.654619150141777,32.567395369224776,Photography; Local food tasting; Exploring,Marsa Alam Grand Hotel; Marsa Alam Boutique Stay
Luxor Art Spot #199,Luxor,Art,A rugged landscape that challenges the spirit and rewards the brave.,25.655534331957213,32.508091780515194,Photography; Local food tasting; Exploring,Luxor Grand Hotel; Luxor Boutique Stay
